CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
41130782,DEJA VU LOUNGE & BAR,Queens,18025,LINDEN BOULEVARD,11434,6462563483,American,05/07/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,,,06/06/2024,Inter-Agency Task Force / Initial Inspection,40.692144768472,-73.765935758636,412,27,042400,4220010,4103150112,QN08,
50050112,MCFADDENS,Queens,36-02,126 STREET,11368,7186512220,American,05/09/2017,Violations were cited in the following area(s).,20F,Current letter grade sign not posted.,Not Critical,,,,06/06/2024,Administrative Miscellaneous / Initial Inspection,40.758284826472,-73.844742645678,481,21,038302,4536844,4017870020,QN99,
50050112,MCFADDENS,Queens,36-02,126 STREET,11368,7186512220,American,05/09/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,10,,,06/06/2024,Cycle Inspection / Initial Inspection,40.758284826472,-73.844742645678,481,21,038302,4536844,4017870020,QN99,
41572874,SOMETHING'S COOKING CATERING,Queens,2210,39 AVENUE,11101,7183910002,American,05/10/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22,,,06/06/2024,Cycle Inspection / Initial Inspection,40.755873119342,-73.938916499088,401,26,003300,4004749,4003930008,QN68,
41572874,SOMETHING'S COOKING CATERING,Queens,2210,39 AVENUE,11101,7183910002,American,05/10/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,22,,,06/06/2024,Cycle Inspection / Initial Inspection,40.755873119342,-73.938916499088,401,26,003300,4004749,4003930008,QN68,
41572874,SOMETHING'S COOKING CATERING,Queens,2210,39 AVENUE,11101,7183910002,American,05/10/2017,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,22,,,06/06/2024,Cycle Inspection / Initial Inspection,40.755873119342,-73.938916499088,401,26,003300,4004749,4003930008,QN68,
41572874,SOMETHING'S COOKING CATERING,Queens,2210,39 AVENUE,11101,7183910002,American,05/10/2017,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,22,,,06/06/2024,Cycle Inspection / Initial Inspection,40.755873119342,-73.938916499088,401,26,003300,4004749,4003930008,QN68,
41722420,RAVEL ROOFTOP,Queens,8-08,QUEENS PLAZA SOUTH,11101,7182896101,American,05/11/2017,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7,A,05/11/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.75412417218,-73.949067745559,402,26,001900,4005311,4004620016,QN31,
41722420,RAVEL ROOFTOP,Queens,8-08,QUEENS PLAZA SOUTH,11101,7182896101,American,05/11/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,05/11/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.75412417218,-73.949067745559,402,26,001900,4005311,4004620016,QN31,
41470093,BLUTOS PUB,Queens,45-03,162 STREET,11358,7184602526,American,05/11/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,05/11/2017,06/06/2024,Cycle Inspection / Re-inspection,40.755959019254,-73.804574266844,407,20,119100,4123260,4054410038,QN52,
41470093,BLUTOS PUB,Queens,45-03,162 STREET,11358,7184602526,American,05/11/2017,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,11,A,05/11/2017,06/06/2024,Cycle Inspection / Re-inspection,40.755959019254,-73.804574266844,407,20,119100,4123260,4054410038,QN52,
50004928,GOTHAM STADIUM TENNIS CENTER CAFE,Bronx,725,EXTERIOR STREET,10451,7186654684,Coffee/Tea,05/16/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,17,,,06/06/2024,Cycle Inspection / Initial Inspection,40.823458153267,-73.931020852635,204,08,006300,2097176,2025390002,BX63,
50004928,GOTHAM STADIUM TENNIS CENTER CAFE,Bronx,725,EXTERIOR STREET,10451,7186654684,Coffee/Tea,05/16/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17,,,06/06/2024,Cycle Inspection / Initial Inspection,40.823458153267,-73.931020852635,204,08,006300,2097176,2025390002,BX63,
50004928,GOTHAM STADIUM TENNIS CENTER CAFE,Bronx,725,EXTERIOR STREET,10451,7186654684,Coffee/Tea,05/16/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,17,,,06/06/2024,Cycle Inspection / Initial Inspection,40.823458153267,-73.931020852635,204,08,006300,2097176,2025390002,BX63,
50004928,GOTHAM STADIUM TENNIS CENTER CAFE,Bronx,725,EXTERIOR STREET,10451,7186654684,Coffee/Tea,05/16/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,17,,,06/06/2024,Cycle Inspection / Initial Inspection,40.823458153267,-73.931020852635,204,08,006300,2097176,2025390002,BX63,
41590644,Baccarat Club,Queens,110-00,ROCKAWAY BOULEVARD,11420,6465881074,American,05/17/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,05/17/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.677664571164,-73.828757893149,410,32,086400,4457718,4115430002,QN55,
41591310,STARBUCKS,Queens,110-00,ROCKAWAY BOULEVARD,11420,6465881074,Coffee/Tea,05/17/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,05/17/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.677664571164,-73.828757893149,410,32,086400,4457718,4115430002,QN55,
41611680,SECOND SERVICE BAR,Queens,110-00,ROCKAWAY BOULEVARD,11420,6465881074,Bottled Beverages,05/17/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,2,A,05/17/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.677664571164,-73.828757893149,410,32,086400,4457718,4115430002,QN55,
41590644,Baccarat Club,Queens,110-00,ROCKAWAY BOULEVARD,11420,6465881074,American,05/17/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,05/17/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.677664571164,-73.828757893149,410,32,086400,4457718,4115430002,QN55,
40385057,CAPPUCCINO CAFE,Brooklyn,7721,3 AVENUE,11209,7182388700,American,05/18/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,05/18/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.629799231638,-74.028457339077,310,43,006400,3149776,3059600003,BK31,
50035307,RAZOR'S BAR & LOUNGE,Brooklyn,87,CENTRAL AVENUE,11206,6466898572,Spanish,05/20/2017,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12,,,06/06/2024,Inter-Agency Task Force / Initial Inspection,40.700654100071,-73.929669743105,304,34,042500,3072269,3031730008,BK78,
50035307,RAZOR'S BAR & LOUNGE,Brooklyn,87,CENTRAL AVENUE,11206,6466898572,Spanish,05/20/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,,,06/06/2024,Inter-Agency Task Force / Initial Inspection,40.700654100071,-73.929669743105,304,34,042500,3072269,3031730008,BK78,
40398688,MASTER WOK,Brooklyn,5100,KINGS PLAZA SHOPPING CT,11234,7182586943,Chinese,05/22/2017,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,40,,,06/06/2024,Cycle Inspection / Re-inspection,40.609928854538,-73.922281617072,318,46,069800,3326830,3084700055,BK45,
40398688,MASTER WOK,Brooklyn,5100,KINGS PLAZA SHOPPING CT,11234,7182586943,Chinese,05/22/2017,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,02B,Hot food item not held at or above 140º F.,Critical,40,,,06/06/2024,Cycle Inspection / Re-inspection,40.609928854538,-73.922281617072,318,46,069800,3326830,3084700055,BK45,
40398688,MASTER WOK,Brooklyn,5100,KINGS PLAZA SHOPPING CT,11234,7182586943,Chinese,05/22/2017,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,40,,,06/06/2024,Cycle Inspection / Re-inspection,40.609928854538,-73.922281617072,318,46,069800,3326830,3084700055,BK45,
40398688,MASTER WOK,Brooklyn,5100,KINGS PLAZA SHOPPING CT,11234,7182586943,Chinese,05/22/2017,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,40,,,06/06/2024,Cycle Inspection / Re-inspection,40.609928854538,-73.922281617072,318,46,069800,3326830,3084700055,BK45,
50035292,THE LOCAL @ JFK,Queens,NKA,JFK INTL AIRPORT 58H,11430,7187512899,American,05/23/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,05/23/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,483,28,071600,4000000,4142600001,QN98,
50035292,THE LOCAL @ JFK,Queens,NKA,JFK INTL AIRPORT 58H,11430,7187512899,American,05/23/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,05/23/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,483,28,071600,4000000,4142600001,QN98,
41183278,HOT BAR COLD BAR,Queens,0,LAGUARDIA AIRPORT,11369,3476965752,American,05/24/2017,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,15,,,06/06/2024,Cycle Inspection / Initial Inspection,40.774414029772,-73.877293351848,480,21,033100,4000000,4009260001,QN98,
41183278,HOT BAR COLD BAR,Queens,0,LAGUARDIA AIRPORT,11369,3476965752,American,05/24/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,15,,,06/06/2024,Cycle Inspection / Initial Inspection,40.774414029772,-73.877293351848,480,21,033100,4000000,4009260001,QN98,
41408464,HABANA OUTPOST,Brooklyn,757,FULTON STREET,11217,7188589500,American,05/24/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,05/24/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.68622428628,-73.974215559897,302,35,018100,3059340,3021170044,BK68,
41183278,HOT BAR COLD BAR,Queens,0,LAGUARDIA AIRPORT,11369,3476965752,American,05/24/2017,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,15,,,06/06/2024,Cycle Inspection / Initial Inspection,40.774414029772,-73.877293351848,480,21,033100,4000000,4009260001,QN98,
50006470,DYLAN'S CANDY BAR,Queens,,JFK AIRPORT,11430,7188783029,Other,05/24/2017,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,8,A,05/24/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,
41408464,HABANA OUTPOST,Brooklyn,757,FULTON STREET,11217,7188589500,American,05/24/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,05/24/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.68622428628,-73.974215559897,302,35,018100,3059340,3021170044,BK68,
41408464,HABANA OUTPOST,Brooklyn,757,FULTON STREET,11217,7188589500,American,05/24/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,05/24/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.68622428628,-73.974215559897,302,35,018100,3059340,3021170044,BK68,
40398688,MASTER WOK,Brooklyn,5100,KINGS PLAZA SHOPPING CT,11234,7182586943,Chinese,05/26/2017,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,41,,,06/06/2024,Cycle Inspection / Reopening Inspection,40.609928854538,-73.922281617072,318,46,069800,3326830,3084700055,BK45,
40398688,MASTER WOK,Brooklyn,5100,KINGS PLAZA SHOPPING CT,11234,7182586943,Chinese,05/26/2017,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,41,,,06/06/2024,Cycle Inspection / Reopening Inspection,40.609928854538,-73.922281617072,318,46,069800,3326830,3084700055,BK45,
40398688,MASTER WOK,Brooklyn,5100,KINGS PLAZA SHOPPING CT,11234,7182586943,Chinese,05/26/2017,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,41,,,06/06/2024,Cycle Inspection / Reopening Inspection,40.609928854538,-73.922281617072,318,46,069800,3326830,3084700055,BK45,
41247222,THE THIRD PALM TREE,Manhattan,2145,AMSTERDAM AVENUE,10032,2129239622,American,05/26/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,05/26/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.838805052431,-73.93767634793,112,10,024900,1062661,1021110083,MN36,
41247222,THE THIRD PALM TREE,Manhattan,2145,AMSTERDAM AVENUE,10032,2129239622,American,05/26/2017,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,7,A,05/26/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.838805052431,-73.93767634793,112,10,024900,1062661,1021110083,MN36,
40398688,MASTER WOK,Brooklyn,5100,KINGS PLAZA SHOPPING CT,11234,7182586943,Chinese,05/26/2017,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,41,,,06/06/2024,Cycle Inspection / Reopening Inspection,40.609928854538,-73.922281617072,318,46,069800,3326830,3084700055,BK45,
50039553,NEW YORK CITY CENTER,Manhattan,130,WEST   56 STREET,10019,2125825472,American,05/31/2017,Violations were cited in the following area(s).,03E,Potable water supply inadequate. Water or ice not potable or from unapproved source. Cross connection in potable water supply system observed.,Critical,28,,,06/06/2024,Cycle Inspection / Initial Inspection,40.76414366884,-73.978889037601,105,06,013700,1023391,1010080015,MN17,
41087273,"Café Medi, Jia Lounge",Manhattan,107,RIVINGTON STREET,10002,2124752600,American,06/01/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12,A,06/01/2017,06/06/2024,Cycle Inspection / Re-inspection,40.719959795805,-73.988022956482,103,01,001800,1075676,1004100048,MN27,
41087273,"Café Medi, Jia Lounge",Manhattan,107,RIVINGTON STREET,10002,2124752600,American,06/01/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,06/01/2017,06/06/2024,Cycle Inspection / Re-inspection,40.719959795805,-73.988022956482,103,01,001800,1075676,1004100048,MN27,
40398688,MASTER WOK,Brooklyn,5100,KINGS PLAZA SHOPPING CT,11234,7182586943,Chinese,06/02/2017,Establishment re-opened by DOHMH.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,C,06/02/2017,06/06/2024,Cycle Inspection / Reopening Inspection,40.609928854538,-73.922281617072,318,46,069800,3326830,3084700055,BK45,
40398688,MASTER WOK,Brooklyn,5100,KINGS PLAZA SHOPPING CT,11234,7182586943,Chinese,06/02/2017,Establishment re-opened by DOHMH.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,9,C,06/02/2017,06/06/2024,Cycle Inspection / Reopening Inspection,40.609928854538,-73.922281617072,318,46,069800,3326830,3084700055,BK45,
50044250,FUJI JAPANESE CUISINE,Queens,11327,QUEENS BLVD,11375,7182633636,Japanese,06/06/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,16,B,06/06/2017,06/06/2024,Cycle Inspection / Re-inspection,40.717278270844,-73.835109368823,406,29,075701,4052736,4022640042,QN17,
50044250,FUJI JAPANESE CUISINE,Queens,11327,QUEENS BLVD,11375,7182633636,Japanese,06/06/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16,B,06/06/2017,06/06/2024,Cycle Inspection / Re-inspection,40.717278270844,-73.835109368823,406,29,075701,4052736,4022640042,QN17,
50044250,FUJI JAPANESE CUISINE,Queens,11327,QUEENS BLVD,11375,7182633636,Japanese,06/06/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,16,B,06/06/2017,06/06/2024,Cycle Inspection / Re-inspection,40.717278270844,-73.835109368823,406,29,075701,4052736,4022640042,QN17,
50044250,FUJI JAPANESE CUISINE,Queens,11327,QUEENS BLVD,11375,7182633636,Japanese,06/06/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,B,06/06/2017,06/06/2024,Cycle Inspection / Re-inspection,40.717278270844,-73.835109368823,406,29,075701,4052736,4022640042,QN17,
50035531,DUNKIN,Queens,1,JFK INTERNATIONAL AIRPORT,11430,5167923957,Donuts,06/08/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,A,06/08/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,483,28,071600,4542156,4142600001,QN98,
50002422,TAGLIERE,Queens,,JFK INTERNATIONAL AIRPORT,11430,6464835087,Pizza,06/08/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,06/08/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,
40561290,TOTONNO'S PIZZERIA,Brooklyn,1524,NEPTUNE AVENUE,11224,7183728606,Pizza,06/08/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,16,,,06/06/2024,Cycle Inspection / Initial Inspection,40.579110856005,-73.983429632161,313,47,034800,3189087,3070220003,BK21,
50035531,DUNKIN,Queens,1,JFK INTERNATIONAL AIRPORT,11430,5167923957,Donuts,06/08/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,06/08/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,483,28,071600,4542156,4142600001,QN98,
50001777,AU BON PAIN,Queens,,JFK INTERNATIONAL AIRPORT,11430,7189176430,Soups/Salads/Sandwiches,06/08/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,06/08/2017,06/06/2024,Cycle Inspection / Re-inspection,40.648312826068,-73.788281497594,,,,,,,
40561290,TOTONNO'S PIZZERIA,Brooklyn,1524,NEPTUNE AVENUE,11224,7183728606,Pizza,06/08/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,16,,,06/06/2024,Cycle Inspection / Initial Inspection,40.579110856005,-73.983429632161,313,47,034800,3189087,3070220003,BK21,
40561290,TOTONNO'S PIZZERIA,Brooklyn,1524,NEPTUNE AVENUE,11224,7183728606,Pizza,06/08/2017,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,16,,,06/06/2024,Cycle Inspection / Initial Inspection,40.579110856005,-73.983429632161,313,47,034800,3189087,3070220003,BK21,
50002397,CIBO EXPRESS GOURMET MARKET,Queens,000,JFK INTERNATIONAL LLC,11430,2159970667,American,06/08/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,06/08/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,483,28,071600,4542156,4142600001,QN98,
50002422,TAGLIERE,Queens,,JFK INTERNATIONAL AIRPORT,11430,6464835087,Pizza,06/08/2017,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,4,A,06/08/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,
50001777,AU BON PAIN,Queens,,JFK INTERNATIONAL AIRPORT,11430,7189176430,Soups/Salads/Sandwiches,06/08/2017,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,4,A,06/08/2017,06/06/2024,Cycle Inspection / Re-inspection,40.648312826068,-73.788281497594,,,,,,,
41606730,DELTA SKY CLUB,Queens,52,JFK INT AIRPORT,11430,7187042357,American,06/08/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,06/08/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,483,28,071600,4000000,4142600001,QN98,
41606730,DELTA SKY CLUB,Queens,52,JFK INT AIRPORT,11430,7187042357,American,06/08/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,10,A,06/08/2017,06/06/2024,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,483,28,071600,4000000,4142600001,QN98,
50059082,M.I.A. MADE IN ASTORIA,Queens,2735,21ST ST,11102,7186509848,American,06/10/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,,,06/06/2024,Inter-Agency Task Force / Initial Inspection,40.771489011228,-73.926511411517,401,22,007100,4006123,4005430002,QN71,
40758684,JUICY LUCY'S,Manhattan,72,EAST    1 STREET,10003,2127775829,"Juice, Smoothies, Fruit Salads",06/12/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19,,,06/06/2024,Cycle Inspection / Initial Inspection,40.723377099773,-73.988700593011,103,02,003602,1079099,1004437503,MN22,
40758684,JUICY LUCY'S,Manhattan,72,EAST    1 STREET,10003,2127775829,"Juice, Smoothies, Fruit Salads",06/12/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,19,,,06/06/2024,Cycle Inspection / Initial Inspection,40.723377099773,-73.988700593011,103,02,003602,1079099,1004437503,MN22,
40758684,JUICY LUCY'S,Manhattan,72,EAST    1 STREET,10003,2127775829,"Juice, Smoothies, Fruit Salads",06/12/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19,,,06/06/2024,Cycle Inspection / Initial Inspection,40.723377099773,-73.988700593011,103,02,003602,1079099,1004437503,MN22,
41395496,"CITI FIELD TWO BOOTS, STAND 318",Queens,126,ROOSEVELT AVENUE,,7185958100,American,06/13/2017,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,06/13/2017,06/06/2024,Cycle Inspection / Initial Inspection,0,0,,,,,4,,
41395432,CITI FIELD NATHAN'S FAMOUS STAND 417,Queens,000,126TH & ROOSEVELT AVENUE,,7185958100,Hotdogs,06/13/2017,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,06/13/2017,06/06/2024,Cycle Inspection / Initial Inspection,0,0,,,,,4,,
41395531,CITI FIELD NATHAN'S HOT DOGS STAND 408,Queens,126,ROOSEVELT AVENUE,,7185958100,Hotdogs,06/13/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,06/13/2017,06/06/2024,Cycle Inspection / Initial Inspection,0,0,,,,,4,,
